991111,88.25,90.44,88.25,89.63,34637300
991112,89.75,90.00,87.06,89.19,24707100
991115,88.25,88.50,86.94,87.00,23540200
991116,86.94,87.75,85.88,87.31,29582600
991117,86.44,87.06,85.00,85.00,33409500
991118,84.94,85.81,84.50,84.94,32246600
991119,84.44,86.56,84.38,86.00,29113000
991122,89.63,90.38,88.44,89.81,45298300
991123,89.25,91.38,88.38,89.63,35393700
991124,89.56,92.25,89.50,91.69,26885500
991126,91.63,93.38,91.00,91.13,14257100
991129,90.13,92.06,89.50,90.19,25730100
991130,89.75,92.88,89.56,91.05,32072800
991201,91.06,93.94,90.88,93.19,24432100
991202,93.06,95.25,92.88,94.81,27736900
991203,95.81,97.13,95.73,96.13,32050300
991206,95.25,97.19,94.75,95.44,24549100
991207,94.75,94.88,92.88,93.00,28429600
991208,93.13,94.31,91.69,91.75,20477900
991209,92.00,93.31,91.44,92.75,23129100
991210,93.38,94.13,92.25,93.88,18418000
991213,93.61,96.94,92.75,96.63,26345800
991214,96.19,101.13,95.31,98.69,72058100
991215,98.56,108.75,98.50,108.44,77785800
991216,109.25,115.00,108.94,113.69,64330100
991217,116.63,117.13,113.63,115.25,52949400
991220,114.81,115.00,111.19,112.75,19716900
991221,112.38,116.63,110.63,115.88,28723000
991222,116.30,118.00,115.13,117.56,19282600
991223,117.25,119.25,116.75,117.44,15514200
991227,118.44,119.25,116.13,119.13,16101100
991228,118.75,118.81,117.06,117.50,12295500
991229,116.94,118.38,116.81,117.94,8724600
991230,117.88,119.94,117.13,117.63,11180000
991231,117.50,117.75,116.25,116.75,6258800
000103,117.38,118.63,112.00,116.56,26614200
000104,113.56,117.13,112.25,112.63,27059500
000105,111.13,116.38,109.38,113.81,32029800
000106,112.19,113.88,108.38,110.00,27488300
000107,108.63,112.25,107.31,111.44,31006800
000110,113.44,113.69,111.38,112.25,22481800
000111,111.50,114.25,108.69,109.38,23371800
000112,108.50,108.88,104.44,105.81,33266200
000113,104.38,108.63,101.50,107.81,41572000
000114,107.19,113.94,105.75,112.25,36708200
000118,111.81,116.50,111.75,115.31,40741800
000119,110.50,111.50,106.00,107.00,48784100
000120,107.06,109.69,105.88,106.00,28174900
000121,107.00,107.25,103.25,103.75,34208100
000124,103.80,105.69,100.81,101.25,31798800
000125,101.00,103.88,99.56,102.81,29911600
000126,102.44,103.50,99.13,99.38,24682500
000127,99.89,101.19,97.25,98.75,31827400
000128,98.13,100.25,97.25,98.25,29112700
000131,97.63,98.19,94.88,97.88,36597100
000201,98.50,103.25,97.69,102.94,35098300
000202,102.44,103.94,100.50,100.81,24957800
000203,102.06,104.19,100.13,103.63,24593000
000204,104.38,108.00,104.14,106.56,27682700
000207,106.81,106.88,104.25,106.63,20002900
000208,106.44,110.00,106.44,109.94,28114500
000209,109.44,109.44,103.88,104.00,27545000
000210,103.89,106.56,102.50,106.00,27263900
000211,104.88,104.88,99.13,99.94,57779500
000214,101.23,101.75,99.06,99.63,40514300
000215,99.75,100.00,98.13,98.56,35513800
000216,99.25,100.19,97.13,97.63,32601300
000217,98.50,99.69,97.14,99.63,40171700
000218,100.00,100.06,94.88,95.06,39531500
000222,95.13,97.13,92.81,93.81,33148100
000223,93.50,95.75,92.06,94.25,37923600
000224,94.25,95.88,92.00,94.75,34866600
000225,94.69,94.70,90.50,91.31,32650700
000228,90.25,92.13,88.13,91.56,38065900
000229,91.75,91.75,88.88,89.38,29218700
000301,89.63,94.09,88.94,90.81,53444900
000302,91.81,95.38,91.13,93.38,53466300
000303,94.75,98.88,93.88,96.13,50717600
000306,96.00,97.38,90.13,90.63,46804700
000307,96.13,97.50,91.94,92.88,67530500
000308,93.81,96.19,91.00,95.56,47145000
000309,95.31,100.00,95.00,100.00,44099400
000310,99.56,102.50,99.50,101.00,42794500
000313,97.63,100.25,97.50,98.00,30915900
000314,98.63,99.25,95.13,95.13,36744600
000315,94.56,96.63,93.69,95.38,26604000
000316,95.94,96.69,93.25,95.38,38650400
000317,95.25,99.50,94.50,99.38,40580800
000320,98.75,99.75,96.50,97.38,23886500
000321,96.75,103.13,96.50,102.75,40824400
000322,102.81,105.63,101.13,103.25,46987900
000323,106.81,112.88,106.63,111.88,74112000
000324,112.63,115.00,109.56,111.69,56098400
000327,107.77,108.25,103.94,104.06,55717000
000328,103.63,107.44,102.38,104.31,40557200
000329,105.19,108.94,105.13,107.19,32181900
000330,106.19,108.63,102.50,103.38,32089200
000331,106.00,108.25,104.13,106.25,32140700
000403,94.44,96.50,90.00,90.88,130059100
000404,91.56,92.00,84.94,88.56,90622200
000405,88.25,88.50,85.88,86.38,41443800
000406,87.88,88.00,85.27,86.00,33210700
000407,87.00,89.38,85.00,89.06,41306800
000410,88.63,88.63,86.00,86.06,30342700
000411,85.13,86.06,83.50,83.88,35980900
000412,82.13,82.25,78.75,79.38,76501900
000413,80.88,82.25,79.00,79.25,47158100
000414,79.13,79.50,73.25,74.13,75608900
000417,74.25,76.00,73.00,75.88,59886100
000418,76.50,81.94,75.88,80.56,45897300
000419,81.44,81.50,78.13,78.69,26857700
000420,78.63,79.88,77.50,78.94,26193700
000424,67.25,68.00,65.00,66.63,156822900
000425,68.75,69.50,67.63,69.38,79758700
000426,70.00,71.13,67.38,68.00,53545600
000427,67.44,69.94,67.38,69.81,38834900
000428,70.75,71.00,68.25,69.75,39041300
000501,72.88,74.00,71.69,73.44,53905500
000502,72.81,73.50,69.50,69.88,48858100
000503,70.38,70.81,68.81,70.56,27677400
000504,70.31,71.25,69.31,70.44,21658600
000505,70.25,71.81,69.88,71.13,18201100
000508,70.94,71.38,69.69,69.81,18093800
000509,70.19,70.44,67.50,67.81,30389200
000510,67.75,67.88,65.75,66.19,33870000
000511,66.63,68.13,65.75,67.88,29195400
000512,68.44,69.75,68.25,68.81,18943000
000515,69.00,69.44,68.00,69.38,16949800
000516,69.56,70.63,69.06,69.50,24205300
000517,68.88,69.13,67.25,67.69,26621000
000518,68.06,68.06,65.88,66.19,26820200
000519,65.38,65.94,64.50,65.06,33289000
000522,65.13,65.25,62.44,64.19,34977500
000523,63.88,65.56,63.06,63.19,28981600
000524,63.13,66.56,63.00,65.56,42741200
000525,64.56,64.75,61.13,61.50,47174400
000526,62.06,62.63,60.38,61.44,27911000
000530,62.44,64.13,62.00,63.38,34268200
000531,63.64,63.70,62.06,62.56,27484100
000601,64.38,66.00,63.81,64.56,47253600
000602,66.00,66.75,65.00,66.31,40231600
000605,66.02,68.38,66.00,66.88,32200000
000606,68.19,69.88,67.81,69.63,49509500
000607,69.25,70.75,67.13,70.50,38155300
000608,71.56,72.13,68.25,68.81,47382800
000609,69.63,69.69,68.31,68.81,17855100
000612,69.00,69.00,66.38,66.88,24630300
000613,66.75,68.00,66.13,67.88,22144600
000614,69.81,71.00,69.50,70.50,39996200
000615,70.81,72.69,70.63,72.38,32796300
000616,72.63,73.13,71.50,72.56,34355300
000619,72.56,73.81,72.00,73.69,23302400
000620,73.88,75.25,73.75,74.94,31137500
000621,77.00,82.19,76.94,80.69,80199800
000622,81.38,82.00,79.31,79.88,43657600
000623,79.94,80.06,77.00,77.69,24905800
000626,77.50,80.13,77.50,79.50,24143500
000627,79.25,80.13,78.38,78.81,15535600
000628,79.00,80.06,78.63,78.94,18729600
000629,78.25,78.94,77.06,77.19,19224500
000630,77.06,80.00,76.69,80.00,26178200
000703,79.69,80.06,79.38,80.00,7867400
000705,79.88,79.88,78.25,78.50,17412200
000706,78.88,81.69,78.50,80.94,23936600
000707,81.27,82.88,80.56,82.00,27076600
000710,80.69,81.31,79.38,79.44,26344900
000711,78.81,80.50,78.50,79.13,18582400
000712,78.25,81.00,77.19,80.31,29185100
000713,78.81,80.00,77.38,79.94,40421600
000714,79.50,79.75,78.44,78.94,25590300
000717,78.25,79.56,77.50,78.19,26996400
000718,77.63,79.50,77.44,78.50,35308600
000719,76.06,77.50,72.81,73.13,69962300
000720,73.44,75.25,73.13,74.81,27345300
000721,74.75,75.00,71.88,72.31,28050300
000724,72.06,72.13,70.00,70.56,28082800
000725,70.81,71.00,68.38,69.00,32094300
000726,69.06,69.50,67.25,67.81,42702300
000727,67.88,70.13,67.50,69.38,37168800
000728,70.94,71.81,69.63,69.69,37822800
000731,70.19,71.13,69.25,69.81,35141900
000801,69.94,70.06,68.19,68.69,23581800
000802,68.56,70.44,68.50,69.38,24134600
000803,68.19,70.38,68.13,70.25,27271700
000804,69.44,69.88,68.19,69.13,19053700
000807,70.19,71.13,69.75,70.00,26370900
000808,70.06,74.69,70.00,74.13,69019400
000809,73.75,74.88,73.13,74.25,31972800
000810,73.81,74.06,71.75,72.63,24493000
000811,72.44,72.69,71.63,72.44,17814800
000814,72.31,73.38,71.38,72.19,26713500
000815,72.00,73.00,71.50,71.63,20357100
000816,71.88,72.25,70.56,71.00,22488100
000817,71.13,72.00,70.56,71.56,18056400
000818,71.13,71.44,70.00,71.00,27219400
000821,70.69,70.81,70.06,70.63,17059800
000822,70.81,72.44,70.22,71.25,27214100
000823,70.81,71.13,70.38,70.75,18363400
000824,70.63,71.19,69.94,71.13,21202700
000825,70.69,71.69,70.56,70.63,26364700
000828,70.19,72.13,70.13,71.31,28210800
000829,71.19,72.75,70.88,70.94,29700100
000830,70.69,70.94,69.69,70.00,26749400
000831,70.88,72.00,69.69,69.81,36287700
000901,70.00,70.63,69.69,70.19,18814900
